ticker,class_code,side,notional,entry_price,lot_size
CBOM,SPBFUT_CONT,short,7832.426839621125,7931.514572391007,1
ALRS,SPBFUT_CONT,short,9000.493952011811,9546.8212104533,1
AKRN,TQBR,short,4508.808137549548,15154.0,1
SBER,SPBFUT_CONT,short,12632.299232823929,38304.36178882352,1
AKRN,TQBR,short,3142.082898360807,14996.0,1
AFLT,SPBFUT_CONT,short,6053.331059715587,6705.870237507814,1
USD/RUB,SPBFUT_CONT,short,24481.138702361888,114274.1224234826,1
iShares Core,SPBFUT_CONT,short,6763.1327173383,32687.798694874316,1
FEES,SPBFUT_CONT,short,10887.606281202381,13859.517279778958,1
USD/RUB,SPBFUT_CONT,short,20597.821012474276,113747.95829936562,1
FEES,SPBFUT_CONT,short,7927.786804048936,13785.897967059298,1
AKRN,TQBR,short,8114.047189024392,15062.0,1
Nasdaq 100,SPBFUT_CONT,short,7335.658670802393,19862.6548449205,1
Tracker Fund,SPBFUT_CONT,short,12454.231529684044,20634.402385895864,1
RTGZ,TQBR,short,4677.445598701718,37000.0,1
Tracker Fund,SPBFUT_CONT,short,12802.24936303099,20727.18614071889,1
iShares Core,SPBFUT_CONT,short,5846.980149852655,29041.623862810207,1
HEAD,TQBR,short,3756.676412424467,3808.0,1
MAGN,SPBFUT_CONT,short,9757.731625432085,64005.31027094194,1
MAGN,SPBFUT_CONT,short,12965.866057504883,64327.60578269942,1
ALRS,SPBFUT_CONT,short,6732.58273545381,8949.779050142915,1
TATN,SPBFUT_CONT,short,9936.847356707756,76439.09494282467,1
HYDR,SPBFUT_CONT,short,8445.945786784048,8485.446397902548,1
SNGSP,SPBFUT_CONT,short,5752.804213875623,59352.308227966285,1
VSMO,TQBR,short,7154.417025215788,28820.0,1
AKRN,TQBR,short,7605.911977879389,15070.0,1
VSMO,TQBR,short,6428.976388772506,28800.0,1
FEES,SPBFUT_CONT,short,7301.664593277508,13923.59334825718,1
AKRN,TQBR,short,4398.761460076307,15050.0,1
iShares Core,SPBFUT_CONT,long,13435.006871118003,31942.86329629411,1
VSMO,TQBR,short,7397.296424657611,29080.0,1
FLOT,SPBFUT_CONT,short,11030.454423561672,13218.037007599303,1
SBERP,SPBFUT_CONT,short,11865.144247798202,33888.1045597011,1
SIBN,SPBFUT_CONT,short,6875.054418159022,7901.723919021615,1
USD/RUB,SPBFUT_CONT,long,18828.314423627795,117409.95484158667,1
TATN,SPBFUT_CONT,short,10759.844919811563,75240.21579303381,1
EUR/RUB,SPBFUT_CONT,long,20303.96457242231,117296.31860473538,1
DIAS,TQBR,short,3453.577874736763,4584.5,1
SIBN,SPBFUT_CONT,long,5842.769791926358,7860.135898395186,1
FLOT,SPBFUT_CONT,short,7798.988230229529,12549.745394186408,1
AFKS,SPBFUT_CONT,short,7160.055614961755,24042.502879940985,1
FEES,SPBFUT_CONT,short,10720.512178697143,13075.60793137517,1
SNGS,SPBFUT_CONT,short,9568.567238862053,35686.03578951513,1
FLOT,SPBFUT_CONT,short,10479.087435152176,12511.190108797202,1
TATN,SPBFUT_CONT,short,12874.991345612054,75716.78887121154,1
AFLT,SPBFUT_CONT,short,5244.506113671621,6070.76007072942,1
MGNT,SPBFUT_CONT,short,5306.466072780028,6596.114006335789,1
ROSN,SPBFUT_CONT,short,10568.550527332638,68169.28966719657,1
AKRN,TQBR,short,10080.402296353172,14858.0,1
AKRN,TQBR,short,9594.476338437204,14894.0,1
PHOR,TQBR,short,4807.383910929226,4868.0,1
IRAO,SPBFUT_CONT,short,11140.556052387285,45299.79101197785,1
USD/RUB,SPBFUT_CONT,long,33479.94917494303,115873.3587984357,1
DIAS,TQBR,long,4138.896373988405,5400.0,1
iShares Core,SPBFUT_CONT,long,7048.371485786246,33638.424090747634,1
Nasdaq 100,SPBFUT_CONT,long,17139.397626311355,21722.616935113696,1
Tracker Fund,SPBFUT_CONT,long,8277.3612595682,22337.180452478544,1
IMOEX,SPBFUT_CONT,long,12269.846261273035,440636.09813577455,1
ROSN,SPBFUT_CONT,long,17382.565000187737,72969.34375241902,1
VSMO,TQBR,long,12895.51670700562,27260.0,1
SNGS,SPBFUT_CONT,long,9365.555688166432,35712.687022476566,1
MOEX,SPBFUT_CONT,long,12963.304401047195,22764.11013256996,1
GAZP,SPBFUT_CONT,long,7410.185724519772,21763.925490447793,1
AFKS,SPBFUT_CONT,short,6673.8828481394485,21638.287469997173,1
AKRN,TQBR,long,4138.161828175095,16094.0,1
SNGS,SPBFUT_CONT,long,6550.637445409019,35466.99447641968,1
ROSN,SPBFUT_CONT,short,11084.451447310435,69639.61207399162,1
ROSN,SPBFUT_CONT,short,14140.987809166074,70034.50562520488,1
RTSI,SPBFUT_CONT,short,15323.304920040624,105750.0123200181,1
FLOT,SPBFUT_CONT,long,10723.567644652705,12834.79286883059,1
EUR/RUB,SPBFUT_CONT,long,35359.54543213932,123541.2521340604,1
SNGSP,SPBFUT_CONT,long,16837.21550728492,65269.67666382059,1
FLOT,SPBFUT_CONT,short,7024.9855545783,12193.17661313054,1
IRAO,SPBFUT_CONT,short,9909.787516615948,45257.87835419541,1
MOEX,SPBFUT_CONT,short,8476.023526498358,20609.129010176297,1
SNGSP,SPBFUT_CONT,long,11081.585699036632,64600.490042556,1
DIAS,TQBR,short,4125.060708968196,4720.0,1
SNGSP,SPBFUT_CONT,short,10726.792663325004,64012.38234639344,1
AFKS,SPBFUT_CONT,short,7065.626764001345,16994.72382064941,1
IMOEX,SPBFUT_CONT,short,14760.157622148594,403042.297234877,1
AFKS,SPBFUT_CONT,short,5585.402661341265,15859.516335576562,1
EUR/RUB,SPBFUT_CONT,long,41623.41390404234,127587.5442768242,1
AFKS,SPBFUT_CONT,short,7236.57823967079,16617.177439867264,1
GAZP,SPBFUT_CONT,long,11648.486786440295,20778.103081472807,1
SNGSP,SPBFUT_CONT,long,14896.681565134892,65753.86630104958,1
RTGZ,TQBR,long,3514.8030685875747,48600.0,1
Tracker Fund,SPBFUT_CONT,short,11548.632671526891,24968.982175635585,1
VSMO,TQBR,long,11321.409024301422,25080.0,1
RTKM,SPBFUT_CONT,short,8069.2396841099235,8671.142121828212,1
SBER,SPBFUT_CONT,short,13969.665687085522,31215.15526817535,1
GAZP,SPBFUT_CONT,short,8575.438716110199,20266.992078665775,1
MTSS,SPBFUT_CONT,short,14970.645410470377,20298.301182225863,1
SBERP,SPBFUT_CONT,short,12167.462157458023,30191.073437457373,1
SBER,SPBFUT_CONT,short,12154.100056524867,30397.72930326601,1
IMOEX,SPBFUT_CONT,short,10975.691739486809,417742.92813706095,1
AKRN,TQBR,long,5042.039578214719,16952.0,1
Nasdaq 100,SPBFUT_CONT,long,20190.80723796158,22379.990511277436,1
EUR/RUB,SPBFUT_CONT,long,42193.93128623824,127095.4439240468,1
SNGSP,SPBFUT_CONT,long,13277.3552300265,68247.89971545548,1
Nasdaq 100,SPBFUT_CONT,long,15877.91863226095,22335.51474127296,1
FLOT,SPBFUT_CONT,short,5578.5530746340355,11140.6791782995,1
GAZP,SPBFUT_CONT,short,6201.695518540898,18713.94262206518,1
SNGSP,SPBFUT_CONT,long,13061.62973609725,68096.01947547564,1
ROSN,SPBFUT_CONT,long,10071.715830162353,63135.95705707131,1
USD/RUB,SPBFUT_CONT,long,8707.97061998165,140636.84151648454,1
Золото в руб,SPBFUT_CONT,long,9748.234342229198,12363.41090736254,1
AFKS,SPBFUT_CONT,short,5276.2853898349185,15747.793426977763,1
SNGSP,SPBFUT_CONT,short,11420.1537793914,67768.2779049928,1
iShares Core,SPBFUT_CONT,short,27054.61093356744,35143.98244001762,1
MAGN,SPBFUT_CONT,short,12754.71797096871,42916.337452249456,1
FLOT,SPBFUT_CONT,short,6943.719102085,10702.652696042736,1
RTSI,SPBFUT_CONT,short,6974.373250114424,79553.92227840495,1
USD/RUB,SPBFUT_CONT,long,13933.186538139535,139225.97752891164,1
AKRN,TQBR,long,8926.859992684593,17178.0,1
RTGZ,TQBR,long,10163.502266094087,44000.0,1
