seed,return_pct,cagr_pct,sharpe,max_dd_pct,pct_profitable_missed_to_margin,avg_margin_util_pct,risk_per_trade,margin_cap,block
24,75.21871608247379,101.2075553196087,1.3079669721398524,32.63541299729536,82.01634877384197,69.47476370052304,0.01,0.8,validation
25,48.160094673130786,63.241793664917026,0.945822658618195,49.447338479461955,81.81198910081744,69.72503277488994,0.01,0.8,validation
26,82.25465602937629,111.3287585638509,1.320840342171496,29.49197760376442,80.79019073569482,69.35728406953575,0.01,0.8,validation
27,27.543793370717594,35.42958568170369,0.6744128341513357,34.5085980818875,81.47138964577657,68.72092382800406,0.01,0.8,validation
28,105.09519295533467,144.83847022954723,1.4510475970067147,31.403515901549973,81.26702997275204,69.46678779452414,0.01,0.8,validation
29,69.52364600009577,93.08809573006288,1.1857718040905392,34.99452700952748,81.6757493188011,69.86076743496288,0.01,0.8,validation
0,90.62612001204249,129.93946401243548,1.3640023934691394,24.50185540253658,84.61101646791596,69.55188783764169,0.01,0.8,holdout
1,191.2807513946245,297.42714440059746,2.2677122638087024,22.259311471812932,84.61101646791596,70.10684184307324,0.01,0.8,holdout
2,187.63993256903095,291.027487550101,2.220464349832144,19.27170511129253,85.00851788756388,70.12117874708508,0.01,0.8,holdout
3,73.16214169450667,103.12153500253474,1.2217855703617062,37.43693614824679,85.34923339011925,70.24564767372243,0.01,0.8,holdout
4,330.9650750241686,558.9217013768592,2.828451874796582,26.40967425367035,83.5320840431573,69.87804140343056,0.01,0.8,holdout
5,290.67217362218787,480.5164296648231,2.543631253504044,16.00516026352168,83.47529812606473,69.73172133698796,0.01,0.8,holdout
6,204.04616696464882,320.0482379666964,2.3278098280354955,15.508562332436703,84.55423055082339,70.45529117470713,0.01,0.8,holdout
7,155.60809061584254,235.76116554453307,1.8651859166774472,28.26608582030934,84.09994321408291,69.93375894857857,0.01,0.8,holdout
8,196.02630521563594,305.8035846668889,2.191359362971636,26.9487619967445,83.87279954571267,69.99761286630924,0.01,0.8,holdout
