day_idx,day_frac,date,equity,n_overnight,total_uncovered,fee,rate,is_disprop,avg_risk_rub,pct_futures,risk_per_trade,block,risk_rub_bin
355,0.4085155350978136,2023-09-23 00:00:00+00:00,13895.872302206004,13,13544.41631719888,40.0,0.00295324649384909,True,71.00665337861543,38.46153846153847,0.005,in_sample,<1000
356,0.4096662830840046,2023-09-24 00:00:00+00:00,13855.872302206004,13,13584.41631719888,40.0,0.002944550510378354,True,71.00665337861543,38.46153846153847,0.005,in_sample,<1000
357,0.4108170310701956,2023-09-25 00:00:00+00:00,13599.307261722914,11,11367.416931159805,40.0,0.003518829320877108,True,71.0043199556234,36.36363636363637,0.005,in_sample,<1000
358,0.41196777905638665,2023-09-26 00:00:00+00:00,13866.535976264426,9,6802.734344688677,40.0,0.005879988541847223,True,71.27996356056663,44.44444444444444,0.005,in_sample,<1000
359,0.4131185270425777,2023-09-27 00:00:00+00:00,13823.261017850245,9,7396.650544370237,40.0,0.005407853157324694,True,71.0712476666669,44.44444444444444,0.005,in_sample,<1000
360,0.4142692750287687,2023-09-28 00:00:00+00:00,14072.323800319926,9,4691.322277205278,0.0,0.0,False,71.22020099801396,55.55555555555556,0.005,in_sample,<1000
361,0.4154200230149597,2023-09-29 00:00:00+00:00,13781.14591448653,7,15253.605937528842,40.0,0.00262233075666305,True,71.2905146870851,57.14285714285714,0.005,in_sample,<1000
362,0.41657077100115075,2023-09-30 00:00:00+00:00,13741.14591448653,7,15253.605937528842,40.0,0.00262233075666305,True,71.2905146870851,57.14285714285714,0.005,in_sample,<1000
363,0.4177215189873418,2023-10-01 00:00:00+00:00,13626.077931746717,8,11342.776194175483,40.0,0.0035264735295174035,True,70.77417824687858,50.0,0.005,in_sample,<1000
364,0.4188722669735328,2023-10-02 00:00:00+00:00,13514.743449324267,13,13164.541181005128,40.0,0.003038465180823412,True,69.19247362341085,38.46153846153847,0.005,in_sample,<1000
365,0.42002301495972383,2023-10-03 00:00:00+00:00,13605.591065138296,12,8234.824209988223,40.0,0.004857420022577168,True,69.47383620627039,41.66666666666667,0.005,in_sample,<1000
366,0.42117376294591485,2023-10-04 00:00:00+00:00,13492.514551137177,12,10949.980758714948,40.0,0.0036529744555180627,True,69.42640565520021,33.33333333333333,0.005,in_sample,<1000
367,0.4223245109321059,2023-10-05 00:00:00+00:00,13407.135755265323,10,7069.1824352250005,40.0,0.0056583629530742,True,69.51868772093124,40.0,0.005,in_sample,<1000
368,0.4234752589182969,2023-10-06 00:00:00+00:00,13289.699314472307,11,7186.618876018016,40.0,0.005565899721422729,True,69.21895270930133,45.45454545454545,0.005,in_sample,<1000
369,0.42462600690448793,2023-10-07 00:00:00+00:00,14133.418462490237,10,3050.086379993443,0.0,0.0,False,68.65509562446951,50.0,0.005,in_sample,<1000
370,0.42577675489067895,2023-10-08 00:00:00+00:00,14133.418462490237,10,3050.086379993443,0.0,0.0,False,68.65509562446951,50.0,0.005,in_sample,<1000
371,0.42692750287687,2023-10-09 00:00:00+00:00,14319.489492889781,14,17565.07330780574,40.0,0.0022772464025085743,True,70.64720110379763,28.57142857142857,0.005,in_sample,<1000
372,0.428078250863061,2023-10-10 00:00:00+00:00,14051.861290874287,13,18521.46615018948,40.0,0.0021596562429584327,True,70.42895583352231,23.076923076923077,0.005,in_sample,<1000
373,0.42922899884925203,2023-10-11 00:00:00+00:00,13784.676771111806,12,20206.28017368287,40.0,0.0019795825682006,True,69.8298468488667,25.0,0.005,in_sample,<1000
374,0.43037974683544306,2023-10-12 00:00:00+00:00,13518.808782610176,12,19240.33826981368,40.0,0.002078965527480165,True,69.29113898760754,16.666666666666664,0.005,in_sample,<1000
375,0.4315304948216341,2023-10-13 00:00:00+00:00,13478.808782610176,13,26499.630972159117,40.0,0.0015094549822986048,False,69.16059321264164,15.384615384615385,0.005,in_sample,<1000
376,0.4326812428078251,2023-10-14 00:00:00+00:00,13638.59264319319,12,22549.110254029918,40.0,0.0017739059124450955,True,69.29010401373311,16.666666666666664,0.005,in_sample,<1000
377,0.43383199079401613,2023-10-15 00:00:00+00:00,13522.535960784026,10,12787.307118933371,40.0,0.003128101923881572,True,69.57295713396152,20.0,0.005,in_sample,<1000
378,0.43498273878020716,2023-10-16 00:00:00+00:00,13408.811227624501,13,23785.731117273448,40.0,0.001681680491668872,True,69.02948385338067,15.384615384615385,0.005,in_sample,<1000
379,0.4361334867663982,2023-10-17 00:00:00+00:00,13628.384685005334,10,12516.19704146976,40.0,0.0031958589232391034,True,69.33249960738995,20.0,0.005,in_sample,<1000
380,0.4372842347525892,2023-10-18 00:00:00+00:00,13509.73632649446,12,12200.060648483983,40.0,0.003278672225696724,True,68.80327230421904,33.33333333333333,0.005,in_sample,<1000
381,0.43843498273878023,2023-10-19 00:00:00+00:00,13740.250585387641,9,7253.434023352884,40.0,0.005514629328841691,True,69.10156068944289,44.44444444444444,0.005,in_sample,<1000
382,0.43958573072497126,2023-10-20 00:00:00+00:00,13887.887067867596,9,3404.409233635135,0.0,0.0,False,69.48383423348349,55.55555555555556,0.005,in_sample,<1000
383,0.4407364787111623,2023-10-21 00:00:00+00:00,13887.887067867596,9,3404.409233635135,0.0,0.0,False,69.48383423348349,55.55555555555556,0.005,in_sample,<1000
384,0.44188722669735325,2023-10-22 00:00:00+00:00,13887.887067867596,9,3404.409233635135,0.0,0.0,False,69.48383423348349,55.55555555555556,0.005,in_sample,<1000
385,0.4430379746835443,2023-10-23 00:00:00+00:00,14049.088302910533,10,21303.077094260523,40.0,0.0018776630166154166,True,70.52516806533781,20.0,0.005,in_sample,<1000
386,0.4441887226697353,2023-10-24 00:00:00+00:00,13863.977300925528,10,20470.977795470535,40.0,0.0019539858036898713,True,70.42865532797524,20.0,0.005,in_sample,<1000
387,0.44533947065592633,2023-10-25 00:00:00+00:00,14144.100913749175,8,3507.918219925483,0.0,0.0,False,70.53174470850107,50.0,0.005,in_sample,<1000
388,0.44649021864211735,2023-10-26 00:00:00+00:00,14498.532320284092,8,13630.283116184342,40.0,0.0029346419042833197,True,72.1655539086492,50.0,0.005,in_sample,<1000
389,0.4476409666283084,2023-10-27 00:00:00+00:00,14563.776976526631,13,16365.485483791392,40.0,0.002444168249063956,True,73.17851929880095,38.46153846153847,0.005,in_sample,<1000
390,0.4487917146144994,2023-10-28 00:00:00+00:00,14522.205144029323,11,4169.298207037896,0.0,0.0,False,73.20361320508461,45.45454545454545,0.005,in_sample,<1000
391,0.44994246260069043,2023-10-29 00:00:00+00:00,14482.205144029323,14,13514.133012865042,40.0,0.0029598643110824215,True,73.07663017259789,35.714285714285715,0.005,in_sample,<1000
392,0.45109321058688145,2023-10-30 00:00:00+00:00,14288.62134247553,13,14487.016009240753,40.0,0.0027610931039549775,True,72.98192344987166,30.76923076923077,0.005,in_sample,<1000
393,0.4522439585730725,2023-10-31 00:00:00+00:00,13641.645445899676,11,9471.101821338654,40.0,0.004223373452693634,True,71.07796911539411,45.45454545454545,0.005,in_sample,<1000
394,0.4533947065592635,2023-11-01 00:00:00+00:00,13314.298919363417,11,8649.60621104205,40.0,0.004624487985237544,True,70.5786595687037,36.36363636363637,0.005,in_sample,<1000
395,0.45454545454545453,2023-11-02 00:00:00+00:00,13353.573718802762,12,21388.690847790094,40.0,0.001870147185943026,True,69.77506636249886,25.0,0.005,in_sample,<1000
396,0.45569620253164556,2023-11-03 00:00:00+00:00,13022.057401045033,11,21388.690847790094,40.0,0.001870147185943026,True,69.16736016024514,27.27272727272727,0.005,in_sample,<1000
397,0.4568469505178366,2023-11-04 00:00:00+00:00,13023.77933932802,9,17739.508431535978,40.0,0.002254853912912884,True,69.49653036050444,33.33333333333333,0.005,in_sample,<1000
398,0.4579976985040276,2023-11-05 00:00:00+00:00,12983.77933932802,9,17739.508431535978,40.0,0.002254853912912884,True,69.49653036050444,33.33333333333333,0.005,in_sample,<1000
399,0.45914844649021863,2023-11-06 00:00:00+00:00,12854.95635028777,7,9720.07516919439,40.0,0.004115194512771987,True,69.44137151141572,28.57142857142857,0.005,in_sample,<1000
400,0.46029919447640966,2023-11-07 00:00:00+00:00,12701.059446026537,8,12057.382625820992,40.0,0.0033174695737315033,True,68.53363563508584,12.5,0.005,in_sample,<1000
401,0.4614499424626007,2023-11-08 00:00:00+00:00,12517.698892128106,7,19452.980079770867,40.0,0.002056240218001146,True,65.79422706524316,28.57142857142857,0.005,in_sample,<1000
402,0.4626006904487917,2023-11-09 00:00:00+00:00,12470.20608658919,9,13806.169926537814,40.0,0.0028972553729845942,True,64.52114205284036,44.44444444444444,0.005,in_sample,<1000
403,0.46375143843498273,2023-11-10 00:00:00+00:00,12355.032258214876,10,13806.169926537814,40.0,0.0028972553729845942,True,64.20895706247661,40.0,0.005,in_sample,<1000
